time,temperature
2023-02-06 02:13:53,23.5
2023-02-06 02:26:53,24.4
2023-02-06 02:39:55,23.5
2023-02-06 02:48:29,24.3
2023-02-06 03:06:18,23.4
2023-02-06 03:10:05,24.3
2023-02-06 03:31:40,24.2
2023-02-06 03:32:40,23.3
2023-02-06 03:53:16,24.1
2023-02-06 03:59:03,23.3
2023-02-06 04:14:52,24.0
2023-02-06 04:25:25,23.2
2023-02-06 04:36:27,23.9
2023-02-06 04:51:48,23.2
2023-02-06 04:58:03,23.8
2023-02-06 05:18:10,23.2
2023-02-06 05:19:41,23.8
2023-02-06 05:41:15,23.7
2023-02-06 05:44:03,23.3
2023-02-06 06:02:50,23.6
2023-02-06 06:10:02,23.4
2023-02-06 06:24:26,23.6
2023-02-06 06:35:59,23.4
2023-02-06 06:46:01,23.6
2023-02-06 07:02:21,23.3
2023-02-06 07:07:37,23.5
2023-02-06 07:28:21,23.3
2023-02-06 07:29:13,23.5
2023-02-06 07:50:48,23.6
2023-02-06 07:54:43,23.3
2023-02-06 08:12:24,23.8
2023-02-06 08:20:40,23.6
2023-02-06 08:34:00,24.2
2023-02-06 08:47:05,23.6
2023-02-06 08:55:35,24.8
2023-02-06 09:13:29,23.7
2023-02-06 09:17:11,25.4
2023-02-06 09:38:47,25.9
2023-02-06 09:39:54,24.0
2023-02-06 10:00:22,26.5
2023-02-06 10:06:17,24.2
2023-02-06 10:21:58,27.0
2023-02-06 10:32:41,24.4
2023-02-06 10:43:34,27.4
2023-02-06 10:59:05,24.5
2023-02-06 11:05:09,27.8
2023-02-06 11:25:29,24.8
2023-02-06 11:26:45,28.0
2023-02-06 11:48:23,28.2
2023-02-06 11:51:53,24.9
2023-02-06 12:09:56,28.4
2023-02-06 12:18:18,25.0
2023-02-06 12:31:32,28.5
2023-02-06 12:44:42,25.1
2023-02-06 12:53:08,28.5
2023-02-06 13:11:06,25.3
2023-02-06 13:14:43,28.5
2023-02-06 13:36:19,28.5
2023-02-06 13:37:29,25.3
2023-02-06 13:57:55,28.5
2023-02-06 14:03:29,25.1
2023-02-06 14:19:30,28.5
2023-02-06 14:29:54,25.5
2023-02-06 14:41:06,28.6
2023-02-06 14:56:17,25.6
2023-02-06 15:02:42,28.7
2023-02-06 15:22:39,25.7
2023-02-06 15:24:17,28.8
2023-02-06 15:45:53,28.8
2023-02-06 15:49:03,25.7
2023-02-06 16:07:29,28.8
2023-02-06 16:15:27,25.8
2023-02-06 16:29:04,28.7
2023-02-06 16:41:50,25.8
2023-02-06 16:50:40,28.7
2023-02-06 17:08:13,25.8
2023-02-06 17:12:17,28.6
2023-02-06 17:33:51,28.5
2023-02-06 17:34:13,25.1
2023-02-06 17:55:27,28.4
2023-02-06 18:00:36,25.6
2023-02-06 18:17:03,28.2
2023-02-06 18:27:00,25.5
2023-02-06 18:38:38,28.1
2023-02-06 18:53:23,25.4
2023-02-06 19:00:14,27.9
2023-02-06 19:19:23,24.8
2023-02-06 19:21:50,27.8
2023-02-06 19:45:47,25.1
2023-02-06 19:51:18,27.6
2023-02-06 20:12:11,25.1
2023-02-06 20:12:52,27.4
2023-02-06 20:34:31,27.3
2023-02-06 20:38:34,25.0
2023-02-06 20:56:04,27.1
2023-02-06 21:04:57,24.9
2023-02-06 21:17:39,27.0
2023-02-06 21:30:56,24.5
2023-02-06 21:39:15,26.8
2023-02-06 21:57:18,24.8
2023-02-06 22:00:51,26.7
